Database initialized successfully
(node:20256) ExperimentalWarning: SQLite is an experimental feature and might change at any time
(Use `node --trace-warnings ...` to show where the warning was created)
COREONE Backend Server running on port 3001
API Base URL: http://localhost:3001/api/v1
[2026-05-15T09:44:38.115Z] POST /api/v1/auth/login
[2026-05-15T09:44:38.126Z] GET /api/v1/users
[2026-05-15T09:44:39.345Z] POST /api/v1/auth/login
[2026-05-15T09:44:51.446Z] POST /api/v1/auth/login
[2026-05-15T09:44:51.454Z] GET /api/v1/users
[2026-05-15T09:44:52.745Z] POST /api/v1/auth/login
[2026-05-15T09:45:04.655Z] POST /api/v1/auth/login
[2026-05-15T09:45:04.663Z] GET /api/v1/users
[2026-05-15T09:45:05.812Z] POST /api/v1/auth/login
[2026-05-15T09:45:17.699Z] POST /api/v1/auth/login
[2026-05-15T09:45:17.707Z] GET /api/v1/users
[2026-05-15T09:45:19.095Z] POST /api/v1/auth/login
[2026-05-15T09:45:31.071Z] POST /api/v1/auth/login
[2026-05-15T09:45:31.079Z] GET /api/v1/users
[2026-05-15T09:45:32.270Z] POST /api/v1/auth/login
[2026-05-15T09:45:44.271Z] POST /api/v1/auth/login
[2026-05-15T09:45:44.283Z] GET /api/v1/users
[2026-05-15T09:45:45.516Z] POST /api/v1/auth/login
[2026-05-15T09:45:57.384Z] POST /api/v1/auth/login
[2026-05-15T09:45:57.392Z] GET /api/v1/users
[2026-05-15T09:45:58.716Z] POST /api/v1/auth/login
[2026-05-15T09:45:59.026Z] GET /api/v1/inventory/stats
[2026-05-15T09:45:59.180Z] GET /api/v1/users
[2026-05-15T09:45:59.181Z] GET /api/v1/roles
[2026-05-15T09:45:59.182Z] GET /api/v1/users
[2026-05-15T09:45:59.183Z] GET /api/v1/roles
[2026-05-15T09:46:00.529Z] POST /api/v1/auth/login
[2026-05-15T09:46:00.532Z] GET /api/v1/users
[2026-05-15T09:46:01.065Z] POST /api/v1/auth/login
[2026-05-15T09:46:13.147Z] POST /api/v1/auth/login
[2026-05-15T09:46:13.159Z] GET /api/v1/users
[2026-05-15T09:46:14.604Z] POST /api/v1/auth/login
[2026-05-15T09:46:26.451Z] POST /api/v1/auth/login
[2026-05-15T09:46:26.459Z] GET /api/v1/users
[2026-05-15T09:46:27.685Z] POST /api/v1/auth/login
[2026-05-15T09:46:39.512Z] POST /api/v1/auth/login
[2026-05-15T09:46:39.520Z] GET /api/v1/users
[2026-05-15T09:46:40.682Z] POST /api/v1/auth/login
[2026-05-15T09:46:52.571Z] POST /api/v1/auth/login
[2026-05-15T09:46:52.580Z] GET /api/v1/users
[2026-05-15T09:46:53.745Z] POST /api/v1/auth/login
[2026-05-15T09:47:06.366Z] POST /api/v1/auth/login
[2026-05-15T09:47:06.374Z] GET /api/v1/users
[2026-05-15T09:47:13.982Z] POST /api/v1/auth/login
[2026-05-15T09:47:29.927Z] POST /api/v1/auth/login
[2026-05-15T09:47:29.935Z] GET /api/v1/users
[2026-05-15T09:47:31.363Z] POST /api/v1/auth/login
[2026-05-15T09:47:43.321Z] POST /api/v1/auth/login
[2026-05-15T09:47:43.329Z] GET /api/v1/users
[2026-05-15T09:47:44.465Z] POST /api/v1/auth/login
[2026-05-15T09:47:56.258Z] POST /api/v1/auth/login
[2026-05-15T09:47:56.265Z] GET /api/v1/users
[2026-05-15T09:47:57.468Z] POST /api/v1/auth/login
[2026-05-15T09:48:09.448Z] POST /api/v1/auth/login
[2026-05-15T09:48:09.457Z] GET /api/v1/users
[2026-05-15T09:48:10.749Z] POST /api/v1/auth/login
[2026-05-15T09:48:22.475Z] POST /api/v1/auth/login
[2026-05-15T09:48:22.484Z] GET /api/v1/users
[2026-05-15T09:48:23.647Z] POST /api/v1/auth/login
[2026-05-15T09:48:35.527Z] POST /api/v1/auth/login
[2026-05-15T09:48:35.535Z] GET /api/v1/users
[2026-05-15T09:48:36.780Z] POST /api/v1/auth/login
[2026-05-15T09:48:48.645Z] POST /api/v1/auth/login
[2026-05-15T09:48:48.654Z] GET /api/v1/users
[2026-05-15T09:48:50.032Z] POST /api/v1/auth/login
[2026-05-15T09:49:01.861Z] POST /api/v1/auth/login
[2026-05-15T09:49:01.869Z] GET /api/v1/users
[2026-05-15T09:49:03.024Z] POST /api/v1/auth/login
[2026-05-15T09:49:14.823Z] POST /api/v1/auth/login
[2026-05-15T09:49:14.832Z] GET /api/v1/users
[2026-05-15T09:49:16.055Z] POST /api/v1/auth/login
[2026-05-15T09:49:27.867Z] POST /api/v1/auth/login
[2026-05-15T09:49:27.875Z] GET /api/v1/users
[2026-05-15T09:49:28.662Z] POST /api/v1/auth/login
[2026-05-15T09:49:28.665Z] POST /api/v1/users
[2026-05-15T09:49:30.072Z] POST /api/v1/auth/login
[2026-05-15T09:49:30.084Z] GET /api/v1/users
[2026-05-15T09:49:30.851Z] POST /api/v1/auth/login
[2026-05-15T09:49:30.854Z] POST /api/v1/users
[2026-05-15T09:49:32.299Z] POST /api/v1/auth/login
[2026-05-15T09:49:32.307Z] GET /api/v1/users
[2026-05-15T09:49:32.970Z] POST /api/v1/auth/login
[2026-05-15T09:49:32.973Z] POST /api/v1/users
[2026-05-15T09:49:32.975Z] POST /api/v1/users
[2026-05-15T09:49:34.421Z] POST /api/v1/auth/login
[2026-05-15T09:49:34.429Z] GET /api/v1/users
[2026-05-15T09:49:34.432Z] POST /api/v1/auth/login
[2026-05-15T09:49:34.679Z] POST /api/v1/users
[2026-05-15T09:49:34.696Z] POST /api/v1/auth/login
[2026-05-15T09:49:34.698Z] GET /api/v1/users
[2026-05-15T09:49:34.699Z] POST /api/v1/auth/login
[2026-05-15T09:49:34.941Z] POST /api/v1/users
[2026-05-15T09:49:34.951Z] POST /api/v1/auth/login
[2026-05-15T09:49:34.955Z] GET /api/v1/users
[2026-05-15T09:49:34.956Z] POST /api/v1/auth/login
[2026-05-15T09:49:35.204Z] POST /api/v1/users
[2026-05-15T09:49:35.214Z] POST /api/v1/auth/login
[2026-05-15T09:49:35.215Z] GET /api/v1/users
[2026-05-15T09:49:35.217Z] POST /api/v1/auth/login
[2026-05-15T09:49:35.493Z] POST /api/v1/users
[2026-05-15T09:49:35.506Z] POST /api/v1/auth/login
[2026-05-15T09:49:35.507Z] GET /api/v1/users
[2026-05-15T09:49:35.508Z] POST /api/v1/auth/login
[2026-05-15T09:49:35.766Z] POST /api/v1/users
[2026-05-15T09:49:35.775Z] POST /api/v1/auth/login
[2026-05-15T09:49:35.776Z] GET /api/v1/users
[2026-05-15T09:49:37.218Z] POST /api/v1/auth/login
[2026-05-15T09:49:49.092Z] POST /api/v1/auth/login
[2026-05-15T09:49:49.101Z] GET /api/v1/users
[2026-05-15T09:49:50.267Z] POST /api/v1/auth/login
[2026-05-15T09:50:02.088Z] POST /api/v1/auth/login
[2026-05-15T09:50:02.096Z] GET /api/v1/users
[2026-05-15T09:50:03.306Z] POST /api/v1/auth/login
[2026-05-15T09:50:15.055Z] POST /api/v1/auth/login
[2026-05-15T09:50:15.064Z] GET /api/v1/users
[2026-05-15T09:50:15.761Z] POST /api/v1/auth/login
[2026-05-15T09:50:15.764Z] POST /api/v1/users
